#,contractor,phone,city,market,classes,role,email,letter_template,status
29,FIDELITY FLOORING INC,(510) 290 4706,NEWARK,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
30,CUSTOM POOLS MAINTENANCE / REPAIRS,(408) 674 8412,SAN FRANCISCO,SF_BAY,C54|D35,partner,НАЙТИ,ca_supply_partner,DRAFTED
31,SHAUN GASPER,(650) 464 2497,HALF MOON BAY,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
32,J C FLOORING,(510) 557 5589,HAYWARD,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
33,AVILES FLOORING,(510) 593 3027,SAN LEANDRO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
34,STONE EMPIRE FABRICATION,(510) 878 1076,SAN LEANDRO,SF_BAY,C-6|C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
35,VELOCITY CONSTRUCTION SERVICES INC,(510) 657 6432,FREMONT,SF_BAY,A|B|C-9|C10|C33,buyer_GC+partner,info@velocitycsinc.com,ca_supply_partner,SENT_2026-08-16
36,R GONZALEZ PAINTING CO,(510) 847 4267,OAKLAND,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
37,STONEMAN FABRICATIONS 2 INC,(650) 630 1883,SAN MATEO,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
38,BAY TILE AND STONE INC,(415) 706 3346,SAN FRANCISCO,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
39,SUPERIOR FINISHES,(408) 614 3273,MILLBRAE,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
40,CLEAN FINISH PAINTING,(650) 207 7656,SAN CARLOS,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
41,ALEX KUSHNER GENERAL INC,(415) 756 0945,SAN FRANCISCO,SF_BAY,A|B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
42,DCE PAINTING INC,(415) 683 9635,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
43,R A CUSTOM SIDING,(510) 967 1012,CASTRO VALLEY,SF_BAY,B|C33|D41,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
44,ARTISAN WOOD FLOORS INC,(650) 576 3421,SAN LEANDRO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
45,WEST CO STUCCO,(510) 773 5875,OAKLAND,SF_BAY,B|C35,buyer_GC+partner,НАЙТИ,ca_supply_partner,NO_EMAIL_PHONE_ONLY
46,WEST CAL PLASTERING,(209) 321 8099,HAYWARD,SF_BAY,B|C35,buyer_GC+partner,НАЙТИ,ca_supply_partner,NO_EMAIL_PHONE_ONLY
47,I PAINTING INC,(650) 919 3936,REDWOOD CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
48,MENLO FLOORING,(650) 384 6326,MENLO PARK,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
49,FLAMINGO'S FLOORING,(510) 895 5400,SAN LEANDRO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
50,CHARLES LEONARD DECORATIVE FINISHES PAINTING,(510) 541 1616,EMERYVILLE,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
51,ANTONIO ANGUIANO PAINTING,(415) 412 1289,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
52,BRAVOS'S FLOORING INC,(415) 741 7536,SAN FRANCISCO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
53,GNC BUILDWELL CONSTRUCTION INC,(510) 828 2299,DUBLIN,SF_BAY,A|B|C10|C27|C33|C36,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
54,ACCU PAINTING COMPANY INC,(209) 799 3113,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
55,FRESH START PAINTING SF INC,(415) 347 7689,SAN FRANCISCO,SF_BAY,C33|D39,partner,НАЙТИ,ca_supply_partner,DRAFTED
56,E J HOMES PAINTING INC,(650) 679 4953,REDWOOD CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
57,GOLDEN CITY REMODELING INC,(855) 431 4812,REDWOOD CITY,SF_BAY,B|C33|C36|C39|D64,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
58,LARRY VIGIL CUSTOM HARDWOOD FLOORS,(510) 856 6134,SAN LORENZO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
59,A M S PROPER FLOORS INC,(510) 825 1587,HAYWARD,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
60,CLEAR POINT HARDWOOD FLOOR,(510) 278 3185,SAN LEANDRO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
61,DURABLE PAINTING LLC,(510) 651 4733,FREMONT,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
62,U S GRANITE II,(510) 300 8980,HAYWARD,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
63,JOSEPH NGUYEN,(415) 770 1128,SAN FRANCISCO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
64,GOOD QUALITY PAINTING,(510) 940 5383,HAYWARD,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
65,PENINSULA CONSTRUCTION COMPANY INC,(415) 596 2624,SAN CARLOS,SF_BAY,B|C10|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
66,MYCO CUSTOM PAINTING,(510) 500 5135,BERKELEY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
67,LUXOR FLOORS INC,(650) 393 5886,BURLINGAME,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
68,BETOS TILE AND STONE,(510) 461 2754,HAYWARD,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
69,PAINTERNET INC,(415) 401 5600,OAKLAND,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
70,THE DIAZ PAINTING,(650) 458 1195,SAN MATEO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
71,CREW COLOR PAINTING INC,(510) 846 7751,OAKLAND,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
72,GAR-CAL CORPORATION,(925) 523 3682,LIVERMORE,SF_BAY,B|C33|C39|C54|D12|D28,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
73,GLADNEY PAINTING,(510) 807 5982,SAN LEANDRO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
74,C & C PAINTING,(415) 279 6845,DALY CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
75,ACT PROFESSIONAL PAINTING AND DECORATING,(510) 435 9955,LIVERMORE,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
76,FINEST PRECISION SETTERS INC,(510) 904 2399,HAYWARD,SF_BAY,B|C54|D12,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
77,SERGIO'S PAINTING,(510) 352 1149,SAN LEANDRO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
78,JOHN DALY BUILDERS,(413) 205 5178,DALY CITY,SF_BAY,B|C35,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
79,ARANA BAY AREA PAINTING INC,(650) 532 4879,BURLINGAME,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
80,MELWOOD FLOORING INC,(650) 430 5821,REDWOOD CITY,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
81,PENINSULA FLOORING,(650) 269 9566,BELMONT,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
82,SUNSET HARDWOOD FLOORS,(650) 343 1182,PACIFICA,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
83,J O BUILDER,(650) 481 5739,REDWOOD CITY,SF_BAY,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
84,ERA TILE & STONE,(925) 548 8696,LIVERMORE,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
85,KEYSTONE HOME IMPROVEMENTS INC,(510) 846 4021,OAKLAND,SF_BAY,B|C15,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
86,P R I-PREMIERE ROOFING INC,(925) 453 6240,LIVERMORE,SF_BAY,C33|C39|C43,partner,НАЙТИ,ca_supply_partner,DRAFTED
87,FACTORY DIRECT FLOOR,(510) 895 5133,SAN LEANDRO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
88,ROSS PAINT SERVICES,(650) 274 3478,REDWOOD CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
89,POMIAN TILES,(650) 245 7985,SAN MATEO,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
90,CARVAJAL PAINTING,(650) 518 3089,REDWOOD CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
91,PRIDE ROOFING,(415) 876 9613,SAN FRANCISCO,SF_BAY,B|C33|C39,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
92,SIMON PAINTING COMPANY INC,(415) 574 1504,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
93,BOLD RESTORATION INC,(510) 315 7056,SAN LEANDRO,SF_BAY,B|C-2|C33|D39,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
94,JF PAINTING AND CONSTRUCTION INC,(415) 563 3031,SAN FRANCISCO,SF_BAY,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
95,AL'S CARPET,(650) 201 5405,SOUTH SAN FRANCISCO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
96,DIFFERENT CONCEPTS PAINTING,(415) 740 8373,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
97,GIANCARLO PONGIGLIONE,(415) 282 2161,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
98,COASTSIDE PAINTING AND DECORATING,(415) 307 6914,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
99,KB'S PAINTING,(510) 418 4874,OAKLAND,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
100,ANCGC INC A NEW CONCEPT GENERAL CONSTRUCTION,(415) 613 4521,SAN FRANCISCO,SF_BAY,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
101,CREATIVE TILE MASTER INC,(510) 305 3163,HAYWARD,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
102,U S TILE & GRANITE,(510) 541 0502,HAYWARD,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
103,LET'S ROLL PAINT AND DESIGN,(415) 678 6052,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
104,GOLDEN BAY FLOORS INC,(415) 661 1571,SAN FRANCISCO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
105,TON HARDWOOD FLOORS INC,(925) 215 6341,LIVERMORE,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
106,HRB INC DBA LITTLE RED TRUCK PAINTING,(415) 385 1828,HAYWARD,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
107,"BIG M PAINTING, INC",(415) 579 7093,HAYWARD,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
108,JULIE A STONEHOUSE,(510) 207 2721,ALAMEDA,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
109,LUXURIOUS STONE SLABS,(510) 706 2319,HAYWARD,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
110,BAY AREA WATERPROOFING INC,(408) 854 1038,FREMONT,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
111,DERRICK LAWLOR PAINTING,(415) 699 7439,DALY CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
112,FEREGRINO ELECTRIC,(415) 635 8161,SAN FRANCISCO,SF_BAY,C10|C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
113,MARTIN'S PAINTING,(650) 218 6290,MENLO PARK,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
114,GLOBAL PAINTING LLC,(650) 868 7223,HAYWARD,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
115,EL REY PAINTING,(415) 678 9260,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
116,PENINSULA HARDWOOD FLOORS INC,(650) 409 2200,SAN CARLOS,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
117,J&R CONSTRUCTION AND PAINTING INC,(415) 661 8392,SAN FRANCISCO,SF_BAY,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
118,SOSA DESIGNS TILE & MARBLE INC,(510) 881 6224,SAN LEANDRO,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
119,NUMBER ONE HARDWOOD FLOORS INC,(510) 220 2683,ALAMEDA,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
120,INTEGRITY PAINT AND DESIGN,(510) 410 9805,OAKLAND,SF_BAY,B|B-2|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
121,EAGLE STONE LLC,(650) 921 7748,SAN CARLOS,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
122,MARK LEAL PAINTING COMPANY,(510) 612 1800,SAN LEANDRO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
123,ALEXANDER ERNESTO NAVARRO,(415) 312 8505,REDWOOD CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
124,POINTVERTEX CONSTRUCTION,(510) 859 7448,OAKLAND,SF_BAY,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
125,SALEM TILE,(415) 760 7202,SAN FRANCISCO,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
126,MEDINA MARBLE AND GRANITE,(510) 682 4469,HAYWARD,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
127,J G P PAINTING,(510) 394 7917,OAKLAND,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
128,LDT TILE INC,(650) 766 3758,SAN BRUNO,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
129,F R H HARDWOOD FLOORS INC,(408) 590 0607,SAN LORENZO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
130,M R TILE,(650) 544 4270,REDWOOD CITY,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
131,RUILOM FLOORING INC,(510) 449 9223,FREMONT,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
132,MALLON CONSTRUCTION,(415) 225 4650,SAN FRANCISCO,SF_BAY,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
133,DICKSON PLASTERING INC,(415) 336 8304,SAN FRANCISCO,SF_BAY,C35,partner,НАЙТИ,ca_supply_partner,DRAFTED
134,ARISTA PAINTING,(408) 903 5802,OAKLAND,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
135,361 CONSTRUCTION INC,(415) 881 8787,OAKLAND,SF_BAY,B|C10|C15,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
136,DE LUNA FLOOR COVERING,(510) 467 7309,OAKLAND,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
137,ROYAL PAINTING AND DECORATION,(510) 540 6578,BERKELEY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
138,LEGACY PAINTING CONTRACTORS INC,(925) 484 4843,PLEASANTON,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
139,RICK PAINTING,(415) 846 5632,DALY CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
140,RAISING FLOORS,(650) 922 5851,SAN MATEO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
141,FRESH START PAINTING CO,(650) 222 5329,MILLBRAE,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
142,INDIGO PAINTING,(510) 927 5857,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
143,PERFECTION HARDWOOD FLOORS INC,(415) 867 6562,SAN FRANCISCO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
144,RIVAS FLOORING INSTALLATIONS,(650) 642 4215,SAN MATEO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
145,ENRIQUEZ FLOOR COVERING,(510) 359 6843,SAN LORENZO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
146,LEGACY PAINTING,(415) 994 1100,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
147,PRECISION PAINTING,(510) 387 5240,ALAMEDA,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
148,BOBA PAINTING,(510) 735 5050,OAKLAND,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
149,ROJAS PAINTING,(510) 914 0410,PLEASANTON,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
150,Z V PROFESSIONAL PAINTING & DECORATING INC,(510) 862 4822,HAYWARD,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
151,EXPERT TILE,(510) 258 5205,HAYWARD,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
152,RODNEY RAMOS,(650) 898 4499,REDWOOD CITY,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
153,I T TILE AND GROUT MASTER,(415) 846 3817,SAN FRANCISCO,SF_BAY,B|C54,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
154,LC PAINTING INC,(415) 750 1990,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
155,ELEGANT CUSTOM PAINTING INC,(510) 677 1537,HAYWARD,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
156,METICULOUS PAINTING,(415) 699 3478,BURLINGAME,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
157,ADRR TILES COMPANY INC,(510) 585 7498,NEWARK,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
158,J B PLASTERING,(650) 270 6431,SAN MATEO,SF_BAY,C35,partner,НАЙТИ,ca_supply_partner,DRAFTED
159,RAYCO PAINTING & CONSTRUCTION INC,(888) 320 7566,CASTRO VALLEY,SF_BAY,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
160,PENINSULA PLUS PAINTING,(650) 445 5082,SAN LORENZO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
161,COC PAINTING,(650) 679 0162,REDWOOD CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
162,QUALITY HARDWOOD FLOORS,(650) 347 9241,SAN MATEO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
163,FLAWLESS PAINTING,(650) 307 2168,DALY CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
164,TRU PAINTING,(925) 209 4627,PLEASANTON,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
165,CUNHA'S CUSTOM PAINTING INC,(510) 352 2245,SAN LEANDRO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
166,IMPRESSIVE HARDWOOD FLOORS INC,(434) 710 3904,SAN MATEO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
167,MARBLE AND GRANITE SERVICES,(650) 716 9038,REDWOOD CITY,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
168,TOM'S PAINTERS INC,(415) 307 5664,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
169,SHIRLEY PAINTING,(650) 906 5011,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
170,EXQUISITE HARDWOOD FLOORS INC,(650) 431 5071,SAN MATEO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
171,THE HANDY FRENCHMAN LLC DBA THE FRENCH PAINTER,(415) 513 7624,BERKELEY,SF_BAY,B|C-5|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
172,PEREZ ARTISAN PLASTERING INC,(415) 515 2436,SAN FRANCISCO,SF_BAY,C33|C35,partner,НАЙТИ,ca_supply_partner,DRAFTED
173,HAYWARD PRO PAINTING,(510) 434 6623,HAYWARD,SF_BAY,C33|D41,partner,НАЙТИ,ca_supply_partner,DRAFTED
174,MASTER LATH AND PLASTERING INC,(510) 706 7637,HAYWARD,SF_BAY,C35,partner,НАЙТИ,ca_supply_partner,DRAFTED
175,DETAIL DRYWALL & STUCCO INC,(415) 810 4902,HAYWARD,SF_BAY,B|C-9|C35|C36,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
176,GASTELUM LATH AND PLASTERING INC,(510) 467 2648,OAKLAND,SF_BAY,C35,partner,НАЙТИ,ca_supply_partner,DRAFTED
177,N P M PAINTING INC,(650) 504 9282,REDWOOD CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
178,BAY ONE CONSTRUCTION & REMODELING,(510) 303 3680,HAYWARD,SF_BAY,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
179,REDLOG FLOORING SERVICES CORPORATION,(415) 300 0593,SAN FRANCISCO,SF_BAY,B|C15|C33|C54,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
180,JOE PERRI TILE,(510) 582 9938,CASTRO VALLEY,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
181,ABSOLUTE FLOORING,(650) 726 8141,HALF MOON BAY,SF_BAY,B-2|C15|C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
182,BLACK GALAXY TILE & MARBLE,(510) 604 6862,OAKLAND,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
183,HANSAN FLOORING,(408) 223 8822,SAN FRANCISCO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
184,COASTAL TILE & CONSTRUCTION INC,(415) 845 7262,SAN FRANCISCO,SF_BAY,B|C54,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
185,EUROPEAN PAINTING AND DECORATING,(510) 357 8556,SAN LEANDRO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
