license,company,county,city,zip,phone,classes,role,market
1002450,BAEK CONSTRUCTION,Alameda,CASTRO VALLEY,94546,(415) 308 7071,B|C36,buyer_GC,SF_BAY
1002455,ENERGAMI INC,Alameda,ALAMEDA,94501,(917) 327 2034,B,buyer_GC,SF_BAY
1002484,PAUL DAHLIN,Los Angeles,PASADENA,91107,(323) 217 3580,B,buyer_GC,LA
1002487,RG WEST CONSTRUCTION,Los Angeles,LOS ANGELES,90024,(310) 966 0646,B,buyer_GC,LA
1002511,GOMEZ GARCIA CONSTRUCTION CO,Alameda,SAN LORENZO,94580,(650) 862 4789,B,buyer_GC,SF_BAY
1002514,TAM AND SONS INC,San Francisco,SAN FRANCISCO,94118,(415) 763 7262,B,buyer_GC,SF_BAY
1002544,VICSINC.COM,Los Angeles,MISSION HILLS,91395,(818) 822 9285,ASB|B|C15,buyer_GC+partner,LA
1002547,FUGNAI CONSTRUCTION,San Francisco,SAN FRANCISCO,94112,(415) 816 1165,B,buyer_GC,SF_BAY
1002561,TITAN BUILDERS & REMODELING INC,Los Angeles,WOODLAND HILLS,91364,(800) 991 2674,B|C53,buyer_GC,LA
1002578,A R C HOME IMPROVEMENT INC,Los Angeles,LANCASTER,93536,(661) 236 1851,B,buyer_GC,LA
1002583,KI SUNG LEE,Los Angeles,LOS ANGELES,90019,(213) 703 4440,B,buyer_GC,LA
1002621,C J CONSTRUCTION,San Francisco,SAN FRANCISCO,94112,(415) 671 9060,B|C10,buyer_GC,SF_BAY
1002650,WU CONSTRUCTION AND DEVELOPMENT LLC,Los Angeles,ARCADIA,91066,(626) 238 9888,B|C36,buyer_GC,LA
1002653,CALI WOOD WORK INC,Los Angeles,WOODLAND HILLS,91367,(818) 988 2242,B|C-6,buyer_GC,LA
1002658,PLEXUS CONSTRUCTION AND DEVELOPMENT,Los Angeles,LOS ANGELES,90049,(310) 383 3101,B,buyer_GC,LA
1002678,R-CON GENERAL BUILDING INC,Los Angeles,GRANADA HILLS,91344,(818) 235 6465,B,buyer_GC,LA
1002685,PICTURE PAINTING & DECORATING,San Francisco,SAN FRANCISCO,94134,(415) 518 9322,C33,partner,SF_BAY
1002694,MASTRO CONSTRUCTION INC,Los Angeles,NORTH HOLLYWOOD,91605,(323) 244 7128,B,buyer_GC,LA
1002697,A 1 CONSTRUCTION & DESIGNS INC,Los Angeles,LOS ANGELES,90034,(310) 350 3583,B,buyer_GC,LA
1002711,PREMIER TILE,San Francisco,SAN FRANCISCO,94112,(415) 286 4645,B|C54,buyer_GC+partner,SF_BAY
1002723,O C GRACE PAINTING,Los Angeles,PORTER RANCH,91326,(714) 797 6149,C33,partner,LA
1002725,K W PAINTING INC,San Francisco,SAN FRANCISCO,94134,(415) 846 2487,C33,partner,SF_BAY
1002730,WILLIAM TAYLOR CONSTRUCTION,Los Angeles,LOS ANGELES,90064,(310) 650 8413,B,buyer_GC,LA
1002733,H B KITCHEN BATH INC,Alameda,HAYWARD,94544,(510) 755 8868,B|C54,buyer_GC+partner,SF_BAY
1002750,GREENSCAPE CONSTRUCTION INC,San Mateo,SAN MATEO,94402,(415) 385 1336,B,buyer_GC,SF_BAY
1002753,BUCK CONSTRUCTION,San Francisco,SAN FRANCISCO,94122,(415) 370 0996,B,buyer_GC,SF_BAY
1002767,SOUTHERN CONSTRUCTION & DEVELOPMENT INC,Los Angeles,LOS ANGELES,90059,(310) 941 3288,B,buyer_GC,LA
1002779,A TO Z FASCIA AND BUILDING,Los Angeles,VENICE,90034,(424) 744 6323,B,buyer_GC,LA
1002790,AND CONSTRUCTION,San Mateo,PACIFICA,94044,(650) 898 4478,B,buyer_GC,SF_BAY
1002795,CARDENAS FLOOR COVERING INC,Los Angeles,LOS ANGELES,90044,(323) 270 5020,C15,partner,LA
1002813,AMERICAN PREMIERE HOMES,Los Angeles,VAN NUYS,91406,(818) 779 3828,B,buyer_GC,LA
1002846,CABINET INNOVATORS & CONSTRUCTION SERVICES INC,Los Angeles,DOWNEY,90241,(562) 634 3457,B,buyer_GC,LA
1002863,LONG VONG & ALAN CHOW,San Mateo,SAN MATEO,94403,(510) 882 9193,B|D39,buyer_GC,SF_BAY
1002874,TAYLOR HOME SERVICES INC,Los Angeles,LONG BEACH,90808,(562) 425 0361,B,buyer_GC,LA
1002876,GULSRUD BRADLEY,Los Angeles,SIGNAL HILL,90755,(562) 370 3422,B,buyer_GC,LA
1002911,TRINITY BUILDING CO LLC,San Francisco,SAN FRANCISCO,94107,(415) 857 1920,B,buyer_GC,SF_BAY
1002927,MY HOME BUILDERS INC,Los Angeles,WOODLAND HILLS,91364,(818) 914 4900,B,buyer_GC,LA
1002938,3M PAINTING SERVICES,Los Angeles,LOS ANGELES,90044,(310) 430 5046,C33,partner,LA
1002941,CRUZ PAINTING,Los Angeles,LA PUENTE,91744,(626) 644 9499,C33,partner,LA
1002945,PERFECT PROJECT LLC,Los Angeles,LOS ANGELES,90018,(310) 804 7993,B,buyer_GC,LA
1002953,GARY STEIN,Los Angeles,SHERMAN OAKS,91423,(310) 561 9093,B,buyer_GC,LA
1002961,DOYLE CUSTOM CONSTRUCTION,Los Angeles,WOODLAND HILLS,91367,(818) 389 7405,B,buyer_GC,LA
1002989,THE WINDOW SPECIALIST DBA TWS WHOLESALE,Alameda,OAKLAND,94621,(510) 923 1000,B,buyer_GC,SF_BAY
1002992,ACCORD ELECTRICAL CORPORATION,Los Angeles,WEST HILLS,91307,(818) 713 1675,B|C10,buyer_GC,LA
1002999,JMLS CORPORATION,Alameda,LIVERMORE,94551,(925) 399 2807,B,buyer_GC,SF_BAY
1003005,MONREAL CONSTRUCTION LLC,Los Angeles,LOS ANGELES,90063,(323) 327 1100,B,buyer_GC,LA
1003008,PACIFIC COAST DESIGN GROUP CONSTRUCTION MANAGEMENT & DEVELOPMENT,Los Angeles,PACIFIC PALISADES,90272,(310) 573 4242,B,buyer_GC,LA
1003016,ALL AMERICAN ROOTER AND PLUMBING INC,Los Angeles,SAN FERNANDO,91340,(818) 335 4631,A|B|C20|C36,buyer_GC,LA
1003032,GONZALEZ PAINTING,San Mateo,SAN MATEO,94403,(650) 787 0304,C33,partner,SF_BAY
1003040,AIR COMFORT CONTROL INC,Los Angeles,LANCASTER,93539,(818) 277 4845,B|C10|C20,buyer_GC,LA
1003054,"SOUND-CRETE FIREPROOFING, INC.",Los Angeles,MONROVIA,91016,(408) 813 6666,C-8|C35,partner,LA
1003057,MATTHEW ARATA GENERAL CONTRACTOR,San Mateo,SAN CARLOS,94070,(650) 740 4507,B,buyer_GC,SF_BAY
1003059,R F CONTRACTORS,Alameda,OAKLAND,94621,(510) 394 3300,B|C15,buyer_GC+partner,SF_BAY
1003067,ROBERT PAYNE CONSTRUCTION INC,Alameda,LIVERMORE,94550,(408) 593 0042,B,buyer_GC,SF_BAY
1003075,A TAMAM CONSTRUCTION INC,Alameda,FREMONT,94538,(408) 478 3111,B,buyer_GC,SF_BAY
1003078,BUILDERS OF AMERICA INC,Los Angeles,BEVERLY HILLS,90211,(888) 759 5577,B|C10|C36,buyer_GC,LA
1003090,AMERICAN DELUXE CONSTRUCTION INC,Los Angeles,NORTH HOLLYWOOD,91601,(818) 308 6706,B,buyer_GC,LA
