#,contractor,phone,city,permits,total_value,services,project_addr,project_type,project_value,email,letter_file,status
11,LANGERMAN CONSTRUCTION LLC,(321)303-4190,Sanford,1,18250000,"cleanup,paint,screed",1251 Nw 20 St,ALTER - INTERIOR,18250000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/11_LANGERMAN_CONSTRUCTION_LLC.txt,DRAFTED
12,WINDOW WORKS IMPACT GLAZING INC,(786)957-8957,Miami,1,18000000,"cleanup,paint,screed,stucco",1 Mia Replacement Bldg 3032,NEW,18000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/12_WINDOW_WORKS_IMPACT_GLAZING_INC.txt,DRAFTED
13,INFINITE BUILDERS LLC,(954)924-4014,Dania Beach,1,17588610,"cleanup,paint,screed,stucco",19901 Sw 110 Ct,NEW,17588610.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/13_INFINITE_BUILDERS_LLC.txt,DRAFTED
14,"NEI GENERAL CONTRACTING, INC.",(781)356-7666,Randolph,21,16460046,"cleanup,paint,screed,stucco",1448 E Mowry Dr,ALTER - EXTERIOR,433516.0,neifloridaestimating@neigc.com,tender-system/outreach/mdc-2026-08/letters/14_NEI_GENERAL_CONTRACTING_INC.txt,SENT_2026-08-11
15,ELITE ROOFING AND CONTRACTING INC,(954)864-6591,Miami,1,16000000,"cleanup,paint,screed,stucco",12400 Sw 152 St,NEW,16000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/15_ELITE_ROOFING_AND_CONTRACTING_INC.txt,DRAFTED
16,ALSTON CONSTRUCTION COMPANY INC,(404)921-2020,Atlanta,4,15402437,"cleanup,paint,screed,stucco",14100 Sw 136 St,NEW,7587985.0,alston@alstonco.com,tender-system/outreach/mdc-2026-08/letters/16_ALSTON_CONSTRUCTION_COMPANY_INC.txt,SENT_2026-08-11
17,PEGASUS PAINTING & WATERPROOFING LLC,(954)755-4616,Ft Lauderdale,1,15000000,"cleanup,paint,screed",9400 S Dadeland Blvd,ALTER - INTERIOR,15000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/17_PEGASUS_PAINTING_WATERPROOFING_LLC.txt,DRAFTED
18,CMC CONTRACTORS LLC,(786)703-7786,North Miami,1,14000000,"cleanup,paint,screed,stucco",120 Sw 8 St,NEW,14000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/18_CMC_CONTRACTORS_LLC.txt,DRAFTED
19,"HITT CONTRACTING,INC",(786)368-4028,Miami,5,13998636,"cleanup,paint,screed",3611 Nw S River Dr,ALTER - INTERIOR,3689298.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/19_HITT_CONTRACTING_INC.txt,NO_EMAIL_PREQUAL_PORTAL
20,QUALITY CONSTRUCTION PERFORMANCE INC,(305)592-6353,Miami,3,11800000,"cleanup,paint,screed,stucco",1120 Caribbean Way,REPAIR,9000000.0,info@qualityconstruction.com,tender-system/outreach/mdc-2026-08/letters/20_QUALITY_CONSTRUCTION_PERFORMANCE_INC.txt,SENT_2026-08-11
21,"DWM FACILITIES MAINTENANCE, INC.",(518)944-9400,Longwood,1,10568700,"cleanup,paint,screed",1776 Biscayne Blvd,ALTER - INTERIOR,10568700.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/21_DWM_FACILITIES_MAINTENANCE_INC.txt,DRAFTED
22,DC CONSTRUCTION ASSOCIATES INC,(561)988-8505,Boca Raton,1,10500000,"cleanup,paint,screed,stucco",9050 Sw 158 Ave,NEW,10500000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/22_DC_CONSTRUCTION_ASSOCIATES_INC.txt,DRAFTED
23,C & S ROOFING COMPANY,(352)427-9746,Crystal River,1,10100000,"cleanup,paint,screed,stucco",18450 Nw 87 Ave,NEW,10100000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/23_C_S_ROOFING_COMPANY.txt,DRAFTED
24,"HAWKINS CONSTRUCTION, INC.",(727)938-9719,Tarpon Springs,2,8250000,"cleanup,paint,screed,stucco",8264 Mills Dr,SHELL ONLY,250000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/24_HAWKINS_CONSTRUCTION_INC.txt,DRAFTED
25,STARK ROOFING & CONSTRUCTION GROUP INC,(786)317-6971,Miami,1,7600000,"cleanup,paint,screed,stucco",6431 Nw 32 Ave,NEW,7600000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/25_STARK_ROOFING_CONSTRUCTION_GROUP_INC.txt,DRAFTED
26,OAK CONSTRUCTION CO INC,(305)821-6770,Miami,4,7000000,"cleanup,paint,screed",8710 Sw 72 St,ALTER - INTERIOR,1750000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/26_OAK_CONSTRUCTION_CO_INC.txt,DRAFTED
27,JOHN BELL CONSTRUCTION INC,(305)458-5666,Miami,1,5229513,"cleanup,paint,screed,stucco",1 Golden Beach Dr,NEW,5229513.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/27_JOHN_BELL_CONSTRUCTION_INC.txt,DRAFTED
28,CAMCON GROUP LLC,(786)586-5306,Coral Gables,2,4960050,"cleanup,paint,screed,stucco",131 Nw 75 St,NEW,4760050.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/28_CAMCON_GROUP_LLC.txt,DRAFTED
29,MILLER GLASS & GLAZING INC,(954)784-6601,Pompano Beach,1,4833885,"cleanup,paint,screed,stucco",12405 Sw 88 St,NEW,4833885.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/29_MILLER_GLASS_GLAZING_INC.txt,DRAFTED
30,PORTER ROOFING CONTRACTORS INC,(931)668-2298,Morrison,1,4833885,"cleanup,paint,screed,stucco",12405 Sw 88 St,NEW,4833885.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/30_PORTER_ROOFING_CONTRACTORS_INC.txt,DRAFTED
31,VISION SHUTTERS INC.,(305)231-0241,Miami,1,4693980,"cleanup,paint,screed,stucco",7801 Nw 71 St,NEW,4693980.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/31_VISION_SHUTTERS_INC.txt,DRAFTED
32,DUFFEY CONSTRUCTION CO INC,(305)325-0001,Miami,1,4124949,"cleanup,paint,screed",444 Nw 79 Ave,ALTER - INTERIOR,4124949.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/32_DUFFEY_CONSTRUCTION_CO_INC.txt,DRAFTED
33,MG3 DEVELOPER GROUP LLC,(954)929-5229,Hollywood,1,4000000,"cleanup,paint,screed,stucco",9945 Sunset Dr,NEW,4000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/33_MG3_DEVELOPER_GROUP_LLC.txt,DRAFTED
34,ARCHITECTURAL DEV GROUP INC,(305)595-3095,Miami,1,4000000,"cleanup,paint,screed,stucco",6902 Nw 77 Ct,NEW,4000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/34_ARCHITECTURAL_DEV_GROUP_INC.txt,DRAFTED
35,CEMAR BUILDERS LLC,(786)510-9574,Live Oak,1,4000000,"cleanup,paint,screed,stucco",330 Sw 1 St,NEW,4000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/35_CEMAR_BUILDERS_LLC.txt,DRAFTED
36,LITECRETE INC,(305)500-9373,Miami,1,3546306,"cleanup,paint,stucco",23300 Sw 88 Ave,ALTER - EXTERIOR,3546306.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/36_LITECRETE_INC.txt,DRAFTED
37,LENNAR HOMES LLC,(305)559-1951,Miami,10,3450750,"cleanup,paint,screed,stucco",24001 Sw 127 Ave,NEW,431100.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/37_LENNAR_HOMES_LLC.txt,DRAFTED
38,WATERPROOFING SYSTEMS OF MIAMI INC,(305)970-9574,Miami,5,3300000,"cleanup,paint,screed,stucco",11451 Sw 216 St,NEW,1500000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/38_WATERPROOFING_SYSTEMS_OF_MIAMI_INC.txt,DRAFTED
39,BUILDING UNLIMITED SERVICES INC,(786)367-7555,Miami,1,3000000,"cleanup,paint,screed,stucco",30 Canal St,NEW,3000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/39_BUILDING_UNLIMITED_SERVICES_INC.txt,DRAFTED
40,IMAIM CONSTRUCTION COMPANY LLC,(786)383-7741,Miami,1,3000000,"cleanup,paint,screed,stucco",400 Nw 32 St,NEW,3000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/40_IMAIM_CONSTRUCTION_COMPANY_LLC.txt,DRAFTED
41,SUPERSTRUCTURE & SHAPE INTERFACE BUILD,(305)714-2421,Miami,3,3000000,"cleanup,paint,screed",1 Mia Pbb Gate D22,ALTER - INTERIOR,1000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/41_SUPERSTRUCTURE_SHAPE_INTERFACE_BUILD.txt,DRAFTED
42,PENA-ALUM GLASS & MIRROR INC,(305)640-1178,Doral,3,2859295,"cleanup,paint,screed,stucco",500 Sw 127 Ave,ADDITION - ATTACHED,1800000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/42_PENA_ALUM_GLASS_MIRROR_INC.txt,DRAFTED
43,ALLIED HURRICANE SOLUTIONS INC,(786)712-3152,Doral,1,2829000,"cleanup,paint,screed,stucco",12945 Sw 242 St,NEW,2829000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/43_ALLIED_HURRICANE_SOLUTIONS_INC.txt,DRAFTED
44,DOUBLE P CONSTRUCTION INC,(954)967-8244,Ft Lauderdale,1,2800000,"cleanup,paint,stucco",2724 Nw 2 Ave,ALTER - EXTERIOR,2800000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/44_DOUBLE_P_CONSTRUCTION_INC.txt,DRAFTED
45,SECURE WINDOW SOLUTIONS LLC,(561)674-2809,Pompano Beach,1,2705795,"cleanup,paint,screed,stucco",14160 Sw 136 St,NEW,2705795.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/45_SECURE_WINDOW_SOLUTIONS_LLC.txt,DRAFTED
46,KALOS SERVICES INC,(352)243-7088,Clermont,2,2479231,"cleanup,paint,screed",8651 Nw 13 Ter,ALTER - INTERIOR,979231.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/46_KALOS_SERVICES_INC.txt,DRAFTED
47,HALCYON BUILDERS INC,(305)243-9194,Miami,1,2350000,"cleanup,paint,screed,stucco",3200 Sw 62 Ave,SHELL ONLY,2350000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/47_HALCYON_BUILDERS_INC.txt,DRAFTED
48,R C C ASSOCIATES INC,(305)429-3700,Deerfield,2,2300000,"cleanup,paint,screed,stucco",40 Sw N River Dr,ALTER - INTERIOR,2000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/48_R_C_C_ASSOCIATES_INC.txt,DRAFTED
49,CONSTRUCTION SERVICES INTERNATIONAL CO,(305)418-0949,Medley,3,2216600,"cleanup,paint,stucco",1 Mia N Term Centurion Launge,REPAIR,639000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/49_CONSTRUCTION_SERVICES_INTERNATIONAL_CO.txt,DRAFTED
50,CHEROKEE ENTERPRISES INC,(305)828-3353,Medley,1,2206550,"cleanup,paint,screed,stucco",11500 Nw 25 St,NEW,2206550.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/50_CHEROKEE_ENTERPRISES_INC.txt,DRAFTED
51,HODGEN CONSTRUCTION LLC,(954)727-0333,Pompano Beach,1,2200000,"cleanup,paint,screed,stucco",16600 Nw 57 Ave,NEW,2200000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/51_HODGEN_CONSTRUCTION_LLC.txt,DRAFTED
52,R & G ENGINEERING INC,(305)470-1905,Miami,1,2030160,"cleanup,paint,stucco",3811 Sw 108 Ave,ALTER - EXTERIOR,2030160.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/52_R_G_ENGINEERING_INC.txt,DRAFTED
53,ADRIAN HOMES CORP,(305)225-1515,Miami,1,2000000,"cleanup,paint,screed,stucco",26701 Sw 148 Ave,NEW,2000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/53_ADRIAN_HOMES_CORP.txt,DRAFTED
54,ALL IN ONE IMPACT RESISTANT WINDOWS IN,(305)735-4166,Doral,1,2000000,"cleanup,paint,screed,stucco",26701 Sw 148 Ave,NEW,2000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/54_ALL_IN_ONE_IMPACT_RESISTANT_WINDOWS_IN.txt,DRAFTED
55,R G FIFER INC,(786)367-9054,Miami,1,2000000,"cleanup,paint,screed",1900 Sunset Harbour Dr,ALTER - INTERIOR,2000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/55_R_G_FIFER_INC.txt,DRAFTED
56,THH CONSTRUCTION INC,(305)392-5104,Doral,3,1950000,"cleanup,paint,screed",8900 N Kendall Dr,ALTER - INTERIOR,750000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/56_THH_CONSTRUCTION_INC.txt,DRAFTED
57,VICTORIA ROOFING INCORPORATED,(305)666-2323,Cutler Bay,6,1935425,"cleanup,paint,screed,stucco",15759 Sw 276 Ter,NEW,293950.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/57_VICTORIA_ROOFING_INCORPORATED.txt,DRAFTED
58,R M CONTRACTORS INC,(305)345-3649,Miami,1,1750000,"cleanup,paint,screed",7102 Fisher Island Dr      7102,ALTER - INTERIOR,1750000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/58_R_M_CONTRACTORS_INC.txt,DRAFTED
59,"M. E. CONSTRUCTION, INC.",(321)723-5661,Melbourne,1,1750000,"cleanup,paint,screed",11030 Nw 7 Ave,ALTER - INTERIOR,1750000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/59_M_E_CONSTRUCTION_INC.txt,DRAFTED
60,RICK DEVELOPER INC,(786)285-8685,Miami,1,1737530,"cleanup,paint,screed,stucco",3231 Sw 23 St,NEW,1737530.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/60_RICK_DEVELOPER_INC.txt,DRAFTED
61,SPEED CONSTRUCTION SERVICES INC,(305)218-8790,Miami,3,1665000,"cleanup,paint,screed,stucco",15525 Sw 120 St,SHELL ONLY,500000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/61_SPEED_CONSTRUCTION_SERVICES_INC.txt,DRAFTED
62,IROSO BUILDING SERVICES CORP,(305)323-2954,Miami,2,1550000,"cleanup,paint,screed,stucco",2900 Nw 39 St,ALTER - INTERIOR,250000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/62_IROSO_BUILDING_SERVICES_CORP.txt,DRAFTED
63,WOLVERINE ROOFING LLC,(561)935-7641,N. Palm Beach,1,1508080,"cleanup,paint,screed,stucco",11270 Biscayne Blvd,NEW,1508080.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/63_WOLVERINE_ROOFING_LLC.txt,DRAFTED
64,"ARCO/MURRAY NATIONAL HOLDINGS, INC",(954)294-6364,Downers Grove,1,1500000,"cleanup,paint,screed",8888 Sw 136 St               317,ALTER - INTERIOR,1500000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/64_ARCO_MURRAY_NATIONAL_HOLDINGS_INC.txt,DRAFTED
65,C L CONTRACTORS CORP,(786)236-5419,Miami,1,1500000,"cleanup,paint,screed,stucco",8200 Nw 58 St,NEW,1500000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/65_C_L_CONTRACTORS_CORP.txt,DRAFTED
66,BETA CALUM LLC,(786)442-3142,North Miami,1,1445000,"cleanup,paint,screed",1541 Brickell Ave          B404,ALTER - INTERIOR,1445000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/66_BETA_CALUM_LLC.txt,DRAFTED
67,ASSURANCE PROPERTY SERVICES GROUP INC,(786)485-4937,Hialeah,1,1406900,"cleanup,paint,stucco",23707 Sw 97 Ave,REPAIR,1406900.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/67_ASSURANCE_PROPERTY_SERVICES_GROUP_INC.txt,DRAFTED
68,GONZALEZ & SONS EQUIPMENT INC,(305)822-5455,Hialeah,1,1400000,"cleanup,paint,screed",1 Mia Fuel Farm Tank 14,ALTER - INTERIOR,1400000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/68_GONZALEZ_SONS_EQUIPMENT_INC.txt,DRAFTED
69,POOLE AND KENT COMPANY OF FLORIDA,(305)325-1930,Miami,1,1370000,"cleanup,paint,stucco",6800 Sw 87 Ave,ALTER - EXTERIOR,1370000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/69_POOLE_AND_KENT_COMPANY_OF_FLORIDA.txt,DRAFTED
70,PARAMOUNT CONTRACT SERVICES LLC,(412)281-9650,Pittsburgh,1,1341500,"cleanup,paint,screed",1890 Ne 150 St,ALTER - INTERIOR,1341500.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/70_PARAMOUNT_CONTRACT_SERVICES_LLC.txt,DRAFTED
71,LATITE ROOFING AND SHEET METAL LLC,(954)772-3446,Pompano Beach,2,1285560,"cleanup,paint,screed,stucco",1 Mia Bldg 3038,REPAIR,1005560.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/71_LATITE_ROOFING_AND_SHEET_METAL_LLC.txt,DRAFTED
72,HEICA CONSTRUCTION CORP,(954)372-3939,Miami,1,1223806,"cleanup,paint,screed,stucco",1100 Biscayne Blvd           6301,ADDITION - ATTACHED,1223806.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/72_HEICA_CONSTRUCTION_CORP.txt,DRAFTED
73,NEWPORT PROPERTY CONSTRUCTION LTD,(305)529-3220,Coconut Grove,1,1200000,"cleanup,paint,screed,stucco",19185 Sw 127 Ave,ADDITION - ATTACHED,1200000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/73_NEWPORT_PROPERTY_CONSTRUCTION_LTD.txt,DRAFTED
74,SEASIDE ROOFING INC,(772)285-0588,Stuart,1,1100000,"cleanup,paint,screed,stucco",22601 S Dixie Hwy,NEW,1100000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/74_SEASIDE_ROOFING_INC.txt,DRAFTED
75,A & J GENERAL CONTRACTORS CORP,(305)599-2782,Miami,1,1097450,"cleanup,paint,screed",102 Nw 14 St,ALTER - INTERIOR,1097450.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/75_A_J_GENERAL_CONTRACTORS_CORP.txt,DRAFTED
76,CH CONSTRUCTION GROUP CORP,(786)762-2641,Miami,2,1050000,"cleanup,paint,screed",2843 S Bayshore Dr           P3-C,ALTER - INTERIOR,350000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/76_CH_CONSTRUCTION_GROUP_CORP.txt,DRAFTED
77,LUXCON CONSTRUCTION LLC,(862)260-7466,Miami,1,1036501,"cleanup,paint,screed,stucco",3140 Sw 16 St,NEW,1036501.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/77_LUXCON_CONSTRUCTION_LLC.txt,DRAFTED
78,TIGER & SON ROOFING COMPANY,(954)441-4630,Miramar,1,1000000,"cleanup,paint,screed,stucco",360 Ne 185 St,ADDITION - DETACHED,1000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/78_TIGER_SON_ROOFING_COMPANY.txt,DRAFTED
79,ENGEL CONSTRUCTION INC,(954)583-1109,Fort Lauderdale,1,1000000,"cleanup,paint,screed",9333 Sw 152 St,ALTER - INTERIOR,1000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/79_ENGEL_CONSTRUCTION_INC.txt,DRAFTED
80,MIBH CONSTRUCTION LLC,(305)746-7307,Miami,1,975875,"cleanup,paint,screed",326 Sw 13 Ave,ALTER - INTERIOR,975875.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/80_MIBH_CONSTRUCTION_LLC.txt,DRAFTED
81,BUILCORE INC,(305)915-1566,North Bay Village,2,950000,"cleanup,paint,screed",4 Grove Isle Dr              L403,ALTER - INTERIOR,250000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/81_BUILCORE_INC.txt,DRAFTED
82,G2 CONSTRUCTION GROUP LLC,(305)901-5555,Hollywood,1,933110,"cleanup,paint,screed",20900 Biscayne Blvd,ALTER - INTERIOR,933110.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/82_G2_CONSTRUCTION_GROUP_LLC.txt,DRAFTED
83,NOVABUILD LLC,(786)357-3199,Miaim,2,930000,"cleanup,paint,screed,stucco",22035 Miami Ave,NEW,465000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/83_NOVABUILD_LLC.txt,DRAFTED
84,HJB CONSTRUCTION INC,(843)853-6801,Charleston,1,905560,"cleanup,paint,screed,stucco",18380 Sw 147 Ave,NEW,905560.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/84_HJB_CONSTRUCTION_INC.txt,DRAFTED
85,MARAND BUILDERS INC,(904)247-3211,Jacksonville Beach,1,850000,"cleanup,paint,screed",6202 S Dixie Hwy,ALTER - INTERIOR,850000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/85_MARAND_BUILDERS_INC.txt,DRAFTED
86,CANDELA DEVELOPERS INC,(786)485-4174,Miami,1,846500,"cleanup,paint,screed,stucco",945 Ne 43 Ave,NEW,846500.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/86_CANDELA_DEVELOPERS_INC.txt,DRAFTED
87,EGERT CONSTRUCTION INC DBA:ACE CONSTRU,(305)778-5925,North Miami,1,845471,"cleanup,paint,stucco",55 Indian Creek Island Rd,ALTER - EXTERIOR,845471.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/87_EGERT_CONSTRUCTION_INC_DBA_ACE_CONSTRU.txt,DRAFTED
88,CARIBBEAN BUILDING CORP,(305)364-4587,Hialeah Gardens,1,833000,"cleanup,paint,screed,stucco",3306 Nw 10 Avenue,NEW,833000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/88_CARIBBEAN_BUILDING_CORP.txt,DRAFTED
89,A1 MASTER CONSTRUCTION LLC,(407)775-8198,Orlando,1,815000,"cleanup,paint,screed",6701 Nw 7 St,ALTER - INTERIOR,815000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/89_A1_MASTER_CONSTRUCTION_LLC.txt,DRAFTED
90,GESTIDO CONSTRUCTION LLC,(305)817-0114,Miami,1,800000,"cleanup,paint,screed,stucco",6401 Kendale Lakes Dr,NEW,800000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/90_GESTIDO_CONSTRUCTION_LLC.txt,DRAFTED
